concepto,prefLabel,writtenRep
gastronomia_japonesa_C1,Gastronomia,"dashi_[ja], dashi, dashi, dashi"
gastronomia_japonesa_C10,Begudes,"sake, sake, saké, saki, sake, saké, saki"
gastronomia_japonesa_C11,Condiments,"sal_de_sèsam, gomashio, gomasio, sesame_salt, gomashio, gomasio, sal_de_sésamo, gomashio, gomasio, sel_de_sésame"
gastronomia_japonesa_C12,Gastronomia,"sashimi_[ja], sashimi, sashimi, sashimi"
gastronomia_japonesa_C13,Gastronomia,"shoyu_[ja], shoyu, shōyu, shoyu"
gastronomia_japonesa_C14,Gastronomia,"sukiyaki, sukiyaki, sukiyaki, soukiyaki, sukiyaki"
gastronomia_japonesa_C15,Gastronomia,"sushi_[ja], sushi, sushi, souchi, sushi"
gastronomia_japonesa_C16,Gastronomia,"tempura, tempura, tenpura, tempura, tenpura, tempoura, tempura"
gastronomia_japonesa_C17,Gastronomia,"teriyaki, teriyaki, teriyaki, teriyaki"
gastronomia_japonesa_C18,Alimentació,"wakame, wakame, wakame, ondarie, wakamé"
gastronomia_japonesa_C19,Alimentació,"xiitake, golden_oak_mushroom, Oriental_black_mushroom, shiitake, shiitake, champignon_noir_chinois, shiitake"
gastronomia_japonesa_C2,Gastronomia,"katsuobushi_[ja], katsuobushi, katsuobushi, katsuobushi"
gastronomia_japonesa_C20,Gastronomia,"yakitori, yakitori, yakitori, yakitori"
gastronomia_japonesa_C3,Alimentació,"kombu, kombu, konbu, kombu, konbu, kombou, konbu, laminaire_japonaise"
gastronomia_japonesa_C4,Alimentació,"matsutake, matsutake, matsutake, matsutake"
gastronomia_japonesa_C5,Begudes,"mirin, mirin, mirin, mirin"
gastronomia_japonesa_C6,Alimentació,"miso, miso, miso, miso"
gastronomia_japonesa_C7,Alimentació,"mongeta_azuki, azuki_bean, alubia_adzuki, judía_azuki, adzouki, adzuki, haricot_anguleux"
gastronomia_japonesa_C8,Alimentació,"rave_japonès, Japanese_horseradish, wasabi, wasabi, raifort_du_Japon, wasabi"
gastronomia_japonesa_C9,Gastronomia,"rotlle_de_sushi_[sushi:_ja], makizushi, makizushi, makizushi"
