concepto,prefLabel,writtenRep
plats_a_la_carta_C1,Plats a la carta. Peix i marisc,"abadejo amb allioli, Pollack mit Allioli (Knoblauchmayonnaise), pollack with allioli (garlic mayonnaise), abadejo con alioli, lieu jaune à l'ailloli, merluzzo giallo con allioli (maionese all'aglio)"
plats_a_la_carta_C10,"Plats a la carta. Sopes, cremes i consomés","ajoblanco amb raïm i gelatina de most, Ajoblanco mit Weintrauben und Mostgelee (kalte Knoblauch-Brot-Suppe), ajoblanco with grapes and grape jelly (garlic and bread cold soup), ajoblanco con uvas y gelatina de mosto, ajoblanco aux raisins et gélatine de moût (potage froid d'ail et mie de pain), ajoblanco con uva e gelatina di mosto (zuppa fredda d'aglio e molliche di pane)"
plats_a_la_carta_C100,Plats a la carta. Entrants i amanides,"amanida d'alvocat i gambes, Salat mit Avocado und Garnelen, avocado and shrimps salad, ensalada de aguacate y gambas, salade d'avocat et de crevettes roses, insalata d'avocado e gamberi"
plats_a_la_carta_C1000,Plats a la carta. Arrossos,"arròs de bacallà amb allioli negat, Reis mit Stockfisch und Allioli negat (ungebundene Knoblauchmayonnaise), cod rice with allioli negat (unbound garlic mayonnaise), arroz de bacalao con alioli negat (alioli sin ligar), riz de morue à l'ailloli negat (ailloli délié), riso con baccalà e allioli slegato (maionese all'aglio)"
plats_a_la_carta_C1001,Plats a la carta. Arrossos,"arròs de bacallà i ceps, Reis mit Stockfisch und Steinpilzen, cod and wild mushrooms rice, arroz de bacalao y setas de Burdeos, riz de morue et de cèpes, riso con baccalà e porcini"
plats_a_la_carta_C1002,Plats a la carta. Arrossos,"arròs de cabra de mar, Reis mit Seespinne, spider crab rice, arroz de centollo, riz à l'araignée de mer, riso con la grancevola"
plats_a_la_carta_C1003,Plats a la carta. Arrossos,"arròs de calamars i alls tendres, Reis mit Tintenfischen und jungem Knoblauch, rice with squids and garlic shoots, arroz de calamares y ajos tiernos, riz aux calmars et à l'ail frais, riso con calamari e aglio fresco"
plats_a_la_carta_C1004,Plats a la carta. Arrossos,"arròs de calamars i tirabecs, Reis mit Tintenfischen und Erbsenschoten, squids and snow peas rice, arroz de calamares y tirabeques, riz aux calmars et aux pois mange-tout, riso con calamari e taccole"
plats_a_la_carta_C1005,Plats a la carta. Arrossos,"arròs de ceps, Reis mit Steinpilzen, wild mushroom rice, arroz de setas de Burdeos, riz aux cèpes, riso con funghi porcini"
plats_a_la_carta_C1006,Plats a la carta. Arrossos,"arròs de colomí, Reis mit Täubchenfleisch, pigeon rice, arroz de pichón, riz au pigeonneau, riso con piccione"
